15:09:57.801 1139 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mifa.cloud.voice.server.TestOpenApi], using SpringBootContextLoader
15:09:57.815 1153 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mifa.cloud.voice.server.TestOpenApi]: no resource found for suffixes {-context.xml, Context.groovy}.
15:09:57.988 1326 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
15:09:58.028 1366 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@557caf28, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@408d971b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6c6cb480, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3c46e67a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@c730b35, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@206a70ef, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@292b08d6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@22555ebf, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@36ebc363, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@45752059, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@34e9fd99, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3c41ed1d]
15:09:58.625 1963 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@5bf8fa12: startup date [Tue May 15 15:09:58 CST 2018]; root of context hierarchy
15:09:58.841 2179 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
15:09:58.868 2206 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
15:09:58.982 2320 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7aacb273] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:09:59.475 2813 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at: http://localhost:8888
15:09:59.660 2998 [main] INFO  c.m.cloud.voice.server.TestOpenApi - The following profiles are active: dev
15:09:59.668 3006 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6f8d7714: startup date [Tue May 15 15:09:59 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@5bf8fa12
